Mensagem,Bateria,Tag,Serial,Familia
20/10/2019 20:51:44,53.89,4085753,1186 J A,CDTR14
13/10/2020 09:34:14,89.803079953125,4085341,1524 J A,CDTR14
18/08/2020 23:50:10,78.23650846874995,4086015,1533 J A,CDTR14
11/11/2020 05:05:49,86.454859171875,4104671,1527 J A,CDTR14
15/09/2020 16:17:19,88.433406515625,4081506,1518 J B,CDTR14
11/08/2020 12:24:48,71.99663620312498,4081703,1539 J B,CDTR14
12/09/2020 03:15:13,86.454859171875,4068917,1526 J B,CDTR14
02/07/2020 22:13:24,69.40938721875,4103412,1526 J A,CDTR14
21/07/2020 09:37:44,78.084341671875,4084769,1498 J A,CDTR14
14/11/2020 21:53:27,72.605441203125,4084714,1485 J A,CDTR14
30/08/2020 21:01:22,57.99501698437501,4095325,1501 J B,CDTR14
18/11/2020 07:55:09,86.454859171875,4093103,1513 J B,CDTR14
12/11/2020 21:30:03,78.08430721874998,4082367,1511 J A,CDTR14
12/11/2020 15:33:11,82.041298546875,4082450,1592 J B,CDTR14
31/07/2020 08:41:36,56.320872140625,4062877,1562 J B,CDTR14
30/10/2019 15:02:34,65,4079792,1551 J B,CDTR14
05/10/2020 10:31:00,68.64844987499998,4095944,1576 J A,CDTR14
04/03/2020 15:18:01,55.26,4062875,1547 J B,CDTR14
23/09/2020 18:18:13,87.82463596874999,4095945,1545 J A,CDTR14
20/10/2020 20:52:13,87.06366417187502,4083329,1569 J A,CDTR14
31/10/2020 14:37:45,70.77912956249997,4082675,1590 J A,CDTR14
11/11/2020 06:23:37,88.5855733125,4071665,1566 J A,CDTR14
18/11/2020 06:52:30,89.19434385937501,4082980,1585 J A,CDTR14
11/11/2020 11:02:06,77.01896737500005,4089864,1584 J A,CDTR14
01/10/2020 09:51:09,55.40773354687502,4080482,1102 J A,CDTR14
22/10/2020 08:35:53,81.43252799999999,4073638,1117 J B,CDTR14
06/11/2020 18:09:18,77.17120307812502,4079951,0559 C,CDTR14
10/11/2020 12:27:15,71.38790010937498,4080924,0925 J B,CDTR14
08/05/2020 16:47:15,60.125696671875005,4095811,1080 J A,CDTR14
11/11/2020 10:22:20,89.803079953125,4082743,0540 J B,CDTR14
